name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
quickSort, 3000, 20808, 37944, 0.000000
selectSort, 3100, 3099, 4803450, 0.011000
insertionSort, 3100, 2423326, 2420227, 0.006000
heapSort, 3100, 33291, 69682, 0.001000
quickSort, 3100, 22877, 44375, 0.000000
selectSort, 3200, 3199, 5118400, 0.011000
insertionSort, 3200, 2562155, 2558956, 0.006000
heapSort, 3200, 34592, 72384, 0.001000
quickSort, 3200, 22493, 44290, 0.000000
selectSort, 3300, 3299, 5443350, 0.012000
insertionSort, 3300, 2802654, 2799355, 0.007000
heapSort, 3300, 35673, 74646, 0.000000
quickSort, 3300, 26509, 44960, 0.001000
selectSort, 3400, 3399, 5778300, 0.012000
insertionSort, 3400, 2873890, 2870491, 0.007000
heapSort, 3400, 36995, 77390, 0.001000
quickSort, 3400, 23975, 44652, 0.000000
selectSort, 3500, 3499, 6123250, 0.013000
insertionSort, 3500, 3072979, 3069480, 0.008000
heapSort, 3500, 38158, 79816, 0.001000
quickSort, 3500, 25067, 45964, 0.000000
selectSort, 3600, 3599, 6478200, 0.014000
insertionSort, 3600, 3293205, 3289606, 0.008000
heapSort, 3600, 39366, 82332, 0.001000
quickSort, 3600, 23833, 45355, 0.000000
selectSort, 3700, 3699, 6843150, 0.015000
insertionSort, 3700, 3427787, 3424088, 0.009000
heapSort, 3700, 40632, 84964, 0.000000
quickSort, 3700, 28433, 49146, 0.001000
selectSort, 3800, 3799, 7218100, 0.015000
insertionSort, 3800, 3586203, 3582404, 0.009000
heapSort, 3800, 41872, 87544, 0.001000
quickSort, 3800, 24076, 51633, 0.000000
selectSort, 3900, 3899, 7603050, 0.016000
insertionSort, 3900, 3813860, 3809961, 0.010000
heapSort, 3900, 43069, 90038, 0.001000
quickSort, 3900, 30202, 60512, 0.000000
selectSort, 4000, 3999, 7998000, 0.017000
insertionSort, 4000, 3990173, 3986174, 0.010000
heapSort, 4000, 44368, 92736, 0.001000
quickSort, 4000, 31625, 58631, 0.000000
selectSort, 4100, 4099, 8402950, 0.018000
insertionSort, 4100, 4144660, 4140561, 0.011000
heapSort, 4100, 45579, 95258, 0.000000
quickSort, 4100, 33260, 57848, 0.001000
selectSort, 4200, 4199, 8817900, 0.018000
insertionSort, 4200, 4450896, 4446697, 0.012000
heapSort, 4200, 46805, 97810, 0.000000
quickSort, 4200, 31110, 59712, 0.001000
selectSort, 4300, 4299, 9242850, 0.019000
insertionSort, 4300, 4506387, 4502088, 0.012000
heapSort, 4300, 48182, 100664, 0.001000
quickSort, 4300, 30065, 59373, 0.000000
selectSort, 4400, 4399, 9677800, 0.020000
insertionSort, 4400, 4962172, 4957773, 0.013000
heapSort, 4400, 49305, 103010, 0.001000
quickSort, 4400, 33337, 60533, 0.001000
selectSort, 4500, 4499, 10122750, 0.021000
insertionSort, 4500, 5050985, 5046486, 0.013000
heapSort, 4500, 50570, 105640, 0.001000
quickSort, 4500, 30880, 61324, 0.001000
selectSort, 4600, 4599, 10577700, 0.022000
insertionSort, 4600, 5273178, 5268579, 0.014000
heapSort, 4600, 51999, 108598, 0.001000
quickSort, 4600, 38370, 64546, 0.000000
selectSort, 4700, 4699, 11042650, 0.023000
insertionSort, 4700, 5514127, 5509428, 0.015000
heapSort, 4700, 53218, 111136, 0.001000
quickSort, 4700, 39215, 73746, 0.000000
selectSort, 4800, 4799, 11517600, 0.024000
insertionSort, 4800, 5739666, 5734867, 0.015000
heapSort, 4800, 54551, 113902, 0.001000
quickSort, 4800, 37308, 69380, 0.000000
selectSort, 4900, 4899, 12002550, 0.026000
insertionSort, 4900, 5930380, 5925481, 0.016000
heapSort, 4900, 55863, 116626, 0.000000
quickSort, 4900, 43575, 71836, 0.001000
selectSort, 5000, 4999, 12497500, 0.026000
insertionSort, 5000, 6342756, 6337757, 0.017000
heapSort, 5000, 57049, 119098, 0.001000
quickSort, 5000, 35950, 69451, 0.000000
selectSort, 5100, 5099, 13002450, 0.027000
insertionSort, 5100, 6530413, 6525314, 0.017000
heapSort, 5100, 58412, 121924, 0.001000
quickSort, 5100, 45859, 80906, 0.001000
selectSort, 5200, 5199, 13517400, 0.028000
insertionSort, 5200, 6787922, 6782723, 0.018000
heapSort, 5200, 59753, 124706, 0.001000
quickSort, 5200, 43196, 74436, 0.000000
selectSort, 5300, 5299, 14042350, 0.029000
insertionSort, 5300, 6977022, 6971723, 0.018000
heapSort, 5300, 61057, 127414, 0.001000
quickSort, 5300, 39317, 76371, 0.001000
selectSort, 5400, 5399, 14577300, 0.031000
insertionSort, 5400, 7304048, 7298649, 0.019000
heapSort, 5400, 62361, 130122, 0.001000
quickSort, 5400, 40208, 74670, 0.000000
selectSort, 5500, 5499, 15122250, 0.031000
insertionSort, 5500, 7483568, 7478069, 0.020000
heapSort, 5500, 63621, 132742, 0.001000
quickSort, 5500, 39051, 75721, 0.000000
selectSort, 5600, 5599, 15677200, 0.033000
insertionSort, 5600, 7949070, 7943471, 0.021000
heapSort, 5600, 64913, 135426, 0.001000
quickSort, 5600, 46723, 82805, 0.000000
selectSort, 5700, 5699, 16242150, 0.034000
insertionSort, 5700, 8026637, 8020938, 0.021000
heapSort, 5700, 66178, 138056, 0.001000
quickSort, 5700, 49085, 82524, 0.000000
selectSort, 5800, 5799, 16817100, 0.036000
insertionSort, 5800, 8529910, 8524111, 0.021000
heapSort, 5800, 67437, 140674, 0.001000
quickSort, 5800, 42972, 79062, 0.001000
selectSort, 5900, 5899, 17402050, 0.036000
insertionSort, 5900, 8687207, 8681308, 0.022000
heapSort, 5900, 68806, 143512, 0.002000
quickSort, 5900, 44978, 82328, 0.000000
selectSort, 6000, 5999, 17997000, 0.037000
insertionSort, 6000, 9089713, 9083714, 0.024000
heapSort, 6000, 70176, 146352, 0.001000
quickSort, 6000, 48582, 91223, 0.000000
selectSort, 6100, 6099, 18601950, 0.039000
insertionSort, 6100, 9257398, 9251299, 0.024000
heapSort, 6100, 71443, 148986, 0.001000
quickSort, 6100, 47099, 86711, 0.000000
selectSort, 6200, 6199, 19216900, 0.040000
insertionSort, 6200, 9598381, 9592182, 0.025000
heapSort, 6200, 72782, 151764, 0.001000
quickSort, 6200, 52776, 88717, 0.001000
selectSort, 6300, 6299, 19841850, 0.041000
insertionSort, 6300, 9951191, 9944892, 0.026000
heapSort, 6300, 74028, 154356, 0.001000
quickSort, 6300, 49506, 93107, 0.001000
selectSort, 6400, 6399, 20476800, 0.042000
insertionSort, 6400, 10225707, 10219308, 0.026000
heapSort, 6400, 75468, 157336, 0.001000
quickSort, 6400, 48956, 91740, 0.001000
selectSort, 6500, 6499, 21121750, 0.044000
insertionSort, 6500, 10456565, 10450066, 0.027000
heapSort, 6500, 76730, 159960, 0.001000
quickSort, 6500, 51239, 93968, 0.001000
selectSort, 6600, 6599, 21776700, 0.045000
insertionSort, 6600, 10874515, 10867916, 0.028000
heapSort, 6600, 78056, 162712, 0.001000
quickSort, 6600, 54100, 98453, 0.001000
selectSort, 6700, 6699, 22441650, 0.047000
insertionSort, 6700, 11314301, 11307602, 0.029000
heapSort, 6700, 79256, 165212, 0.001000
quickSort, 6700, 50070, 99409, 0.001000
selectSort, 6800, 6799, 23116600, 0.048000
insertionSort, 6800, 11689125, 11682326, 0.030000
heapSort, 6800, 80634, 168068, 0.001000
